,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
2472,2019-01-02 01:47:29,340187018810220,"fraud_Jenkins, Hauck and Friesen",gas_transport,11.52,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,1960-10-28,bc7d41c41103877b03232f03f1f8d3f5,1325468849,29.819364,-99.142791,1
2523,2019-01-02 03:05:23,340187018810220,fraud_Goodwin-Nitzsche,grocery_pos,276.31,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,1960-10-28,b98f12f4168391b2203238813df5aa8c,1325473523,29.273085,-98.83636,1
2546,2019-01-02 03:38:03,4613314721966,fraud_Erdman-Kertzmann,gas_transport,7.03,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,1988-09-15,397894a5c4c02e3c61c784001f0f14e4,1325475483,35.909292,-82.09101,1
2553,2019-01-02 03:55:47,340187018810220,fraud_Koepp-Parker,grocery_pos,275.73,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,1960-10-28,7863235a750d73a244c07f1fb7f0185a,1325476547,29.786426000000000,-98.68341,1
2937,2019-01-02 13:38:08,4613314721966,fraud_Medhurst PLC,shopping_net,844.8,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,1988-09-15,248c2746e78f2ec713df51254ff1b302,1325511488,35.987802,-81.25433200000000,1
3527,2019-01-02 23:52:08,4613314721966,fraud_Ruecker Group,misc_net,843.91,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,1988-09-15,2f7d497f607396ab669c14c2abe3886f,1325548328,35.985612000000000,-81.383306,1
3580,2019-01-03 01:05:27,340187018810220,fraud_Conroy-Cruickshank,gas_transport,10.76,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,1960-10-28,0a2f8002e55a3565c5c88d8cf039fed8,1325552727,28.856712000000000,-97.794207,1
3600,2019-01-03 01:35:52,340187018810220,fraud_Koepp-Parker,grocery_pos,332.35,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,1960-10-28,97903213a2fd7e53bbaa60807144a505,1325554552,29.320662,-97.937219,1
3671,2019-01-03 03:17:36,340187018810220,fraud_Strosin-Cruickshank,grocery_pos,315.34,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,1960-10-28,0ffc2b7dae4c33883f14ac60283d4027,1325560656,28.953283000000000,-97.806528,1
4324,2019-01-03 16:54:53,4922710831011201,fraud_Rau and Sons,grocery_pos,337.05,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,1941-03-07,7301679c460c5f2a464b0ecb5c610b47,1325609693,41.174382,-79.809888,1
4383,2019-01-03 18:07:01,4922710831011201,fraud_Pouros-Conroy,shopping_pos,711.66,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,1941-03-07,d8daaffedc75c3e9228351ffac06aca9,1325614021,41.207335,-78.84093300000000,1
4644,2019-01-03 22:09:00,4922710831011201,"fraud_Johnson, Runolfsdottir and Mayer",misc_net,707.5,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,1941-03-07,e366fd492cb7dfca302daba1f62ba9f4,1325628540,40.601968,-78.768636,1
4654,2019-01-03 22:21:15,4613314721966,fraud_Fisher Inc,shopping_net,942.62,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,1988-09-15,41b9e040c87e3ec6928ea9f86c571774,1325629275,35.76589,-81.951839,1
4693,2019-01-03 22:58:44,4922710831011201,fraud_Mosciski Group,travel,4.5,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,1941-03-07,2751eef2242b86fba1c3e6c1bb6a7022,1325631524,39.492341000000000,-78.859114,1
4706,2019-01-03 23:09:51,4613314721966,fraud_Morissette PLC,shopping_pos,821.96,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,1988-09-15,b7941dbeaf57c1dd33db619996852b0a,1325632191,35.772593,-81.593183,1
4727,2019-01-03 23:29:57,4613314721966,fraud_Lemke-Gutmann,shopping_net,1092.68,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,1988-09-15,d7a512888741e0585a7277b2d1bc8348,1325633397,36.981465,-80.767836,1
4740,2019-01-03 23:41:36,4613314721966,fraud_Mohr-Bayer,shopping_net,1254.27,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,1988-09-15,e8cd6d3df90834fe23e6ebb4e52a7349,1325634096,36.105024,-80.963186,1
4744,2019-01-03 23:44:42,340187018810220,"fraud_Moen, Reinger and Murphy",grocery_pos,274.09,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,1960-10-28,fdae36d3824101b501a9500505c0dd4c,1325634282,29.789989000000000,-97.996197,1
4808,2019-01-04 00:58:03,341546199006537,"fraud_Stokes, Christiansen and Sipes",grocery_net,14.37,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",1939-11-09,a3806e984cec6ac0096d8184c64ad3a1,1325638683,65.65414200000000,-164.722603,1
4858,2019-01-04 02:13:44,4922710831011201,fraud_Rau and Sons,grocery_pos,316.93,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,1941-03-07,9a6497aef537514b394fad2b89ef0516,1325643224,39.528505000000000,-80.23307700000000,1
4892,2019-01-04 02:57:17,4922710831011201,fraud_Padberg-Welch,grocery_pos,327.68,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,1941-03-07,4ae53182552dba862e94bf0b13dda3e6,1325645837,40.236755,-80.30996800000000,1
5559,2019-01-04 15:06:38,341546199006537,fraud_Predovic Inc,shopping_net,966.11,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",1939-11-09,a59185fe1b9ccf21323f581d7477573f,1325689598,65.468863,-165.473127,1
5577,2019-01-04 15:20:17,4922710831011201,fraud_Corwin-Gorczany,misc_net,795.22,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,1941-03-07,2e88359c19111450f2e481e6d527eec0,1325690417,40.352547000000000,-79.327751,1
5612,2019-01-04 15:48:45,4922710831011201,"fraud_Bins, Balistreri and Beatty",shopping_pos,1015.8,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,1941-03-07,7bd2173c927f2df10a800991cce11f89,1325692125,40.306614,-79.961163,1
6104,2019-01-04 22:10:09,4922710831011201,fraud_Block-Parisian,misc_net,722.18,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,1941-03-07,bec7c3860e212f2bd26708879eae59d5,1325715009,40.346282,-79.59967000000000,1
